Id,Sentence,Title,Author
100,"I’m sitting on the couch in the living room of my house in the Hollywood Hills. It’s a clear, crisp January day, and from my vantage point, I can see the beautiful expanse known as the San Fernando Valley.",Scar Tissue,Anthony Kiedis
102,"I believe the question, then,” says Vasily Yaroslav, “is one of intent.",City Of Stairs,Robert Jackson Bennett
103,"It seemed like he must have been walking for days, but it might have been weeks or hours or minutes.",Clockwork & Old Gods (Self Published),Mark Sargent
104,"There was always more in there than you thought, in the optimistic, can-do spirit that led you to do something as stupid as move to a new house.",In The Neighbourhood,Matthew Mcdermott
105,"This is a story about magic and where it goes and perhaps more importantly where it comes from and why, although it doesn't pretend to answer all or any of these questions.",Equal Rites,Terry Pratchett
106,"CAN there, my good Sir, be any thing more painful to a friendly mind, than a necessity of communicating disagreeable intelligence?.",Evelina,Frances Burney
107,Everything I’m going to tell you is absolutely true.,The Punk Book,Matthew Bin
108,"Pulp science fiction author Jeff Lint loomed large as an influence on my own work since I found a scarred copy of ""I Blame Ferns"" in a Charing Cross basement, an apparently baffled chef staring from the cover.",Lint,Steve Aylett
109,Alive!.,Lilith's Brood,Octavia Butler
110,"The studio was filled with the rich odor of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn.",The Picture Of Dorian Gray,Oscar Wilde
111,"Jack watched Chad wipe the sweat away from his forehead and look down at the laptop, then back up at the large image glowing on the boardroom screen.",The Taste,Matthew Bin
112,Look at this Ronald!'.,Birmingham Rose,Annie Murray
113,"Hazel Motes sat a a forward angle on the green plush train seat, looking one minute at the window as if he might want to jump out of it, and the next down the aisle at the other end of the car.",Wise Blood,Flannery O'Connor
114,"“It’s a video game,” Mick said, leaning back in his seat and rolling his eyes almost into the back of his head.",One Trick Pony,Matthew Bin
115,"Like many fathers, mine could occasionally be prevailed on for a spot of ""airplane. "".",Fun Home,Alison Bechdel
117,"Dante Cubit pushed into the bank, thinking about A. A. Milne.",Slaughtermatic,Steve Aylett
118,"Prod and pull,' the old woman was saying, ''tis the way of the Empress, as like the gods themselves.",Gardens Of The Moon,Steven Erikson
119,"The stubborn ground clung to the last of the cold, but clear skies and crisp air marked mid-Mersa and the timely arrival of spring.",Dragonoak,Sam Farren
120,"Ista leaned forward between the crenellations atop the gate tower, the stone gritty beneath her pale hands, and watched in numb exhaustion as the final mourning party cleared the castle gate below.",Paladin Of Souls,Lois Mcmaster Bujold
121,My name is Mary Katherine Blackwood.,We Have Always Lived In The Castle,Shirley Jackson
122,"It's hot as hell in Martirio, but the papers on the porch are icy with the news.",Vernon God Little,Dbc Pierre
123,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin.",Metamorphosis,Franz Kafka
124,Cazaril heard the mounted horsemen on the road before he saw them.,The Curse Of Chalion,Lois Mcmaster Bujold
125,"THE DECK OF the French ship was slippery with blood, heaving in the choppy sea; a stroke might as easily bring down the man making it as the intended target.",His Majesty's Dragon,Naomi Novik
126,When a traveller in north central Massachusetts takes the wrong fork at the junction of the Aylesbury pike just beyond Dean’s Corners he comes upon a lonely and curious country.,The Dunwich Horror,H.P. Lovecraft
127,"I am extremely concerned, my dearest friend, for the disturbances that have happened in your family.",Clarissa,Samuel Richardson
128,"On Christmas Eve, the children of Doctor Stahlbaum were not allowed into the family room, let alone the adjoining living room.",The Nutcracker And The Mouse King,E.T.A. Hoffmann
129,"The rain poured down on London so hard that it seemed that it was dancing spray, every raindrop contending with its fellow for supremacy in the air and waiting to splash down.",Dodger,Terry Pratchett
130,"It can hardly be a coincidence that no language on Earth has ever produced the expression ""as pretty as an airport"".",The Long Dark Tea-Time Of The Soul,Douglas Adams
131,In my younger and more vulnerable years my father gave me some advice that I’ve been turning over in my mind ever since.,The Great Gatsby,F. Scott Fitzgerald
132,I should have known things were going to go wrong when the car exploded on the motorway.,Clementine Haste And The Pineapple Ring,Me! (Alice Nuttall)
133,"A sea of mist drifted through the cloud forest: soft, grey, luminescent.",Shards Of Honor,Lois Mcmaster Bujold
134,As I cross the courtyard to the execution shed I pass a tangle of bloody feathers.,The Labyrinth Index,Charles Stross
135,I was surprised to see a white man walk into Joppy's bar.,Devil In A Blue Dress,Walter Mosley
136,"The best remedy for a bruised heart is not, as so many people seem to think, repose upon a manly bosom.",Have His Carcase,Dorothy L. Sayers
137,"He sky above the port was the color of television, tuned to a dead channel.",Neuromancer,Williams Gibson
138,"“I can get you a cheaper ticket if you let me amputate your legs: I can even take your thighs as a deposit,” said the travel agent. ”.",Neptune's Brood,Charles Stross
139,Harriet Vane sat at her writing-table and stared out into Mecklenburg Square.,Gaudy Night,Dorothy L. Sayers
140,"At about five thirty in the morning, he could no longer bear to lie in bed with his eyes wide open, staring at the ceiling.",The Dance Of The Seagull,Andrea Camilleri
141,"The old swordsman was kneeling in the dirt, blowing on the embers of last night's fire when he saw the boy approaching.",The Spirit War,Rachel Aaron
142,Steel[ We should probably introduce their telepathy in this scene] bars rattled in their sockets as the wagon jolted up the mountain road.,Remember Me A Hero (Wip),Jd Paradise
143,"Mr and Mrs Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.",Harry Potter And The Philisopher's Stone,J.K. Rowling
144,"The sky was the colour of a television, tuned to a dead channel.",Neuromancer,William Gibson
145,If you were to look for the little island of Tana Masa on a map you would find it right on the equator slightly to the west of Sumatra.,War With The Newts,Karel Capek
146,Not a day goes by that the post does not bring me at least one letter from a young person (or sometimes one not so young) who wishes to follow in my footsteps and become a dragon naturalist.,A Natural History Of Dragons,Marie Brennan
147,The man in black fled across the desert and the gunslinger followed.,"The Gunslinger, Dark Tower Book One",Stephen King
148,"In his dreams, he saw a world unlike anything he’s ever seen before.",In A Sea Filled To The Brim With Noise (Novel Long Fanfic),"Me, Falgift"
149,"In the prison under the castle Allaze, in the dark, moldy cells where the greatest criminals in Mellinor spent the remainder of their lives counting rocks to stave off madness, Eli Monpress was trying to wake up a door.",The Spirit Thief,Rachel Aaron
150,The sky above the port was the color of a television tuned to a dead channel.,Nueromancer,William Gibson
151,"Not everyone believes in mountains, yet there they are, in plain sight.",It Devours!,Joseph Fink & Jeffrey Cranor
152,Far out in the uncharted backwaters of the unfashionable end of the western spiral arm of the Galaxy lies a small unregarded yellow sun.,The Hitchhiker's Guide To The Galaxy,Douglas Adams
153,Far out in the uncharted backwaters of the unfashionable end of the Western Spiral Arm of the galaxy lies a small unregarded yellow sun.,Hitch Hiker’S Guide To The Galaxy,Douglas Adams
154,"Where is Leovinus? demanded the Gat of Blerontis, Chief Quantity Surveyor of the entire North Eastern Gas District of the planet of Blerontin.",Starship Titanic,Terry Jones
155,"High in the forested hills where no one went, there stood a stone tower.",The Spirit Rebellion,Rachel Aaron
156,You already have heirs. I said.,The Hundred Thousand Kingdoms,N.K. Jemison
157,"The moonlight is shining on the foot of my bed, lying there like a large, bright, flat stone.",The Golem,Gustav Meyrink
158,"At Kel Academy, an instructor had explained to Cheris's class that the threshold winnower was a weapon of last resort, and not just for its notorious connotations.",Ninefox Gambit,Yoon Ha Lee
159,"At nine o’clock in the morning, towards the end of November, the Warsaw train was approaching Petersburg at full steam.",The Idiot,Dostoevsky
160,The great hall of the Shapers had been flung open to let in the wounded.,The Spirit Eater,Rachel Aaron
161,"Sixty years after she got her first job in codebreaking, when Elizebeth was an old woman, the National Security Agency sent a female representative to her apartment in Washington, D. C.",The Woman Who Smashed Codes,Jason Fagone
162,"You don't know about me without you have read a book called ""The Adventures of Tom Sawyer,"" but that ain't no matter.",Adventures Of Huckleberry Finn,Mark Twain
163,"In my time I have been called many things: sister, lover, priestess, wise-woman, queen.",The Mists Of Avalon,Marion Zimmer Bradley
165,"Considering the circumstances, you could use another lieutenant.",Ancillary Sword,Ann Leckie
166,"Outside the lighthouse, the wind was howling, and the sea roared, but in the golden warmth of the living room, nobody was paying much attention to the noise of the storm.",Lavender & Stone (Nano Project 17),Adelaide Robinson + Charlotte Smith
167,"Tall Mr Hughes, short Mr Hughes and Mr Puw were standing at the bar of The Anchor.",Gold,Dan Rhodes
168,Happy families are all alike; every unhappy family is unhappy in its own way.,Anna Karenina,Leo Tolstoy
169,Richard Gansey III had forgotten how many times he had been told he was destined for greatness.,The Raven King,Maggie Stiefvater
170,"Mr. Jones, of the Manor Farm, had locked the hen-houses for the night, but was too drunk to remember to shut the pop-holes.",Animal Farm,George Orwell
171,"RIGHT HERE AND NOW, as an old friend used to say, we are in the fluid present, where clear-sightedness never guarantees perfect vision.",Black House,Stephen King And Peter Straub
172,"The building was on fire, and it wasn't my fault.",Blood Rites,Jim Butcher
173,"Persephone stood on the mountaintop, her ruffled ivory dress whipping around her legs, her masses of white-blond curls streaming behind her.","Blue Lily, Lily Blue",Maggie Stiefvater
174,"What’s the best way to keep microbiologists happy? Put them in a warm, dark place and feed them decomposing matter.",The Germ Code,Jason Tetro
175,"Ba-room, ba-room, ba-room, baripity, baripity, baripity, baripity--Good.",Bridge To Terebithia,Katherine Patterson
176,The words were written in pencil on a piece of paper placed on top of the body.,Tainted Blood,Arnaldur Indridason
178,It was love at first sight.,Catch-22,Joseph Heller
179,A secret is a strange thing.,The Dream Thieves,Maggie Stiefvater
180,"I am seated in an office, surrounded by heads and bodies.",Infinite Jest,David Foster Wallace
181,"“When your mama was the geek, my dear dreamlets,” Papa would say, “she made the nipping off of noggins such a crystal mystery that the hens themselves yearned toward her, waltzing around her, hypnotized with longing. ”.",Geek Love,Dunn
182,"If you're going to read this, don't bother.",Choke,Chuck Pahlaniuk
183,It was the day my grandmother exploded.,The Crow Road,Iain Banks
184,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were.",Gone With The Wind,Margaret Mitchell
185,Quentin rode a gray horse with white socks named Dauntless.,The Magician King,Lev Grossmann
186,Beep beep!.,The Gold Coast,Kim Stanley Robinson
187,Despair could never touch a morning like this.,Pacific Edge,Kim Stanley Robinson
188,It was the year when they finally immanentized the Eschaton.,The Illuminatus! Trilogy,Robert Anton Wilson And Robert Shea
189,"It wouldn't really be graverobbing, Nicolin was explaining.",The Wild Shore,Kim Stanley Robinson
190,"An abandoned auto court in the San Berdoo foothills; Buzz Meeks checked in with ninety-four thousand dollars, eighteen pounds of high-grade heroin, a 10-gauge pump, a. 38 special, a.",L.A. Confidential,James Ellroy
191,"This morning on planet Earth, there are one thousand, six hundred, and eighty-six enhanced, gifted, or otherwise-superpowered persons.",Soon I Will Be Invincible,Austin Grossmann
192,They found the corpse on the eighth of July just after three o'clock in the afternoon.,Roseanna,Maj Sjöwall & Per Wahlöö
193,"The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn.",The Picture Of Dorian Gray,Oscar Wilde
194,The first carabiniere to enter the room slipped on the blood and fell to his knees.,Almost Blue,Carlo Lucarelli
195,"A tram was coming, squealing metal against metal, throwing blue-white sparks into the winter dark.",Red Plenty,Francis Spufford
196,"They didn’t think Flynne’s brother had PTSD, but that sometimes the haptics glitched him.",The Peripheral,William Gibson
197,Tara Abernathy’s first job as in-house counsel for the Church of Kos was to hide a body.,Four Roads Cross,Max Gladstone
198,"Polly cut off her hair in front of the mirror, feeling slightly guilty about not feeling very guilty about doing so.",Monstrous Regiment,Terry Pratchett
199,"For false gods, they cast long shadows.",Last First Snow,Max Gladstone
200,"The goddess leaned over the card table and whispered, “Go all in. ”.",Two Serpents Rise,Max Gladstone
201,"Sam Vimes sighed when he heard the scream, but he finished shaving before he did anything about it.",Night Watch,Terry Pratchett
202,The idol would drown that night.,Full Fathom Five,Max Gladstone
203,‘So now get up. ’.,Wolf Hall,Hilary Mantel
204,The air in the Garden holds the smell of salt and starlight and dark earth made soft with water.,Mine,I
205,"Lolita. Light of my life, fire of my loins. My sin, my soul.",Lolita,Vladimir Nabokov
206,The Opera Ghost really existed.,The Phantom Of The Opera,Gaston Leroux
207,"I was born twice: first, as a baby girl, on a remarkably smogless Detroit day in January of 1960; and then again, as a teenage boy, in an emergency room near Petoskey, Michigan, in August of 1974.",Middlesex,Jeffrey Eugenides
208,"All this happened, more or less.",Slaughterhouse Five,Kurt Vonnegut
209,"You are about to begin reading Italo Calvino's new novel, If on a winter's night a traveler.",If On A Winter's Night A Traveler,Italo Calvino
210,"On a certain day in June, 19--, a young man was making his way northward from the great City to a town or place called Edgewood, that he had been told of but had never visited.","Little, Big",John Crowley
211,William Anthony Cozzano's office was a scandal.,Interface,Neal Stephenson & Frederick George
212,The temperature of the room dropped fast.,The Amulet Of Smarkand,Jonathan Stroud
213,"My friendship with Lila began the day we decided to go up the dark stairs that led, step after step, flight after flight, to the door of Don Achille’s apartment.",My Brilliant Friend,Elena Ferrante
214,Make it stop!.,The Sixth Man,David Baldacci
215,I was late for my appointment with a dead man.,Widdershins,Jordan L. Hawk
216,The moon blew up without warning and for no apparent reason.,Seveneves,Neal Stephenson
217,On the corner of 16th Street and Hieratica a factory sings and sighs.,Palimpsest,Catherynne M. Valente
218,"On a narrow, winding road, high near the summit of a snowy mountaintop, a boy named Iai walked steadily upwards, leaning into the blurry whiteness of a relentless snowstorm.",Exophoria,Mark Slutsky
219,The boy with fair hair lowered himself down the last few feet of rock and began to pick his way toward the lagoon.,Lord Of The Flies,William Golding
221,Last night I dreamt I went to Manderley again.,Rebecca,Daphne Dumaurier
222,Titus is seven.,Gormenghast,Mervyn Peake
223,"All children, except one, grow up.",Peter Pan,Jm Barrie
225,"All children, except one, grow up.",Peter And Wendy,J.M. Barrie
226,"To north, south, east or west, turning at will, it was not long before his landmarks fled him.",Titus Alone,Mervyn Peake
228,"When I stepped out into the bright sunlight from the darkness of the movie house, I had only two things on my mind: Paul Newman and a ride home.",The Outsiders,S.E. Hinton
230,"Clare: It’s hard being left behind. I wait for Henry, not knowing where he is, wondering if he’s okay.",The Time Traveler's Wife,Audrey Niffenegger
231,"On the day that his Grannie was killed by the English, Sir William Scott the Younger of Beccleuch was at Melrose Abbey, marrying his aunt.",Disorderly Knights,Dorothy Dunnett
232,"Gehn's bootprints lay heavy around the tiny pool, the lush, well-tended green churned to mud.",Myst: The Book Of Atrus,"Rand Miller, Robyn Miller, David Wingrove"
233,Mrs. Dalloway said she would buy the flowers herself.,Mrs. Dalloway,Virginia Woolf
234,It was a dumb thing to do but it wasn't that dumb.,Sunshine,Robin Mckinley
235,"It began one day in summer about thirty years ago, and it happened to four children.",Half Magic,Edward Eager
236,His followers called him Mahasamatman and said he was a god.,Lord Of Light,Roger Zelanzy
237,"No matter what anyone tells you, being agonizingly crushed to death does not concentrate the mind in any way.",Fractured Symmetry,Fernando Salazar
238,Gram is worried about me.,The Sky Is Every Where,Jandy Nelson
239,"The sounding capsule was embedded in the rock face like a giant crystal, its occupants sealed within the translucent, soundproof cone.",Myst: The Book Of Ti'Ana,"Rand Miller, David Wingrove"
240,This is how it all begins.,I'Ll Give You The Sun,Jandy Nelson
241,Some years ago there was in the city of York a society of magicians.,Jonathan Strange & Mr Norrell,Susanna Clarke
242,"When Menolly, daughter of Yanus Sea Holder, arrived at the Harper Craft Hall, she came in style, aboard a bronze dragon.",Dragonsinger,Anne Mccaffrey
243,"The man in black fled across the desert, and the gunslinger followed.",The Gunslinger,Stephen King
244,"Samuel Spade's jaw was long and bony, his chin a jutting v under the more flexible v of his mouth.",Maltese Falcon,Dashiell Hammett
245,"Sea birds are aloft again, a tattered few.",Shadow Country,Peter Matthiessen
246,Stone Mountain is the only truly rough peak in the Peconics.,Catmagic,Whitley Strieber
247,So now get up.,Wolf Hall,Hilary Mantel
248,The cavern was silent.,Myst: The Book Of D'Ni,"Rand Miller, David Wingrove"
249,The rumble-thud-boom of the big drums answering a message from the east roused Piemur.,Dragondrums,Anne Mccaffrey
250,Everyone knew a dead barmaid was buried in the courtyard.,The Graveyard Of The Hesperides,Lindsey Davis
251,"The sea lay in simmering quiet, a slate-green gumbo seasoned with warm mud.",Islands In The Net,Bruce Sterling
252,"At the time I first realized I might be fictional, my weekdays were spent at a publicly funded institution on the north side of Indianapolis called White River High School, where I was required to eat lunch at a particular time—between 12:37 P. M.",Turtles All The Way Down,John Green
253,"High atop a snow-covered hill, the Wyatt mansion perched like a regal crown, its Gothic stone spires pointing skyward, its stained-glass windows glowing like jewels.",Every Breath You Take,Judith Mcnaught
254,"To most of my clients, bifocal glasses are asthma.",Dolly And The Bird Of Paradise,Dorothy Dunnett
255,The animals know.,Myst: The Book Of Marrim,"Rand Miller, David Wingrove"
256,"Almost as if the elements, too, mourned the death of the gentle old Harper, a southeaster blew for three days, locking even the burial barge in the safety of the Dock Cavern.",Dragonsinger,Anne Mccaffrey
257,"Let the fairy tale begin on a winter’s morning, then, with one drop of blood new-fallen on the ivory snow: a drop as bright as a clear-cut ruby, red as the single spot of claret on the lace cuff.",Swordspoint,Ellen Kushner
258,We wrote to you recently to tell you that your next eye examination was due.,Specsavers,Specsavers
259,Atticus was almost home when the state trooper pulled him over.,Lovecraft Country,Matt Ruff
260,"High over Kirtesk, the prince's city, a falcon sported in the clear sky - a falcon like no other, glinting bright in the sun, silver in the morning light.",The Shining Falcon,Josepha Sherman
261,"Two nights ago, at 10:44 Greenwich time on the Earth, Simone Tiasso Wakefield greeted the universe.",The Garden Of Rama,Arthur C. Clarke
263,"Now that is was too late, she knew how wrong she had been.",Crawl Space,Sarah Graves
264,This one might be trouble.,Surface Detail,Iain M. Banks
265,Hand over the entire internet now and nobody gets hurt.,Normal,Warren Ellis
266,You have come again.,Odin's Wolves,Giles Kristian
267,Antuniet looked up from the ruined crucible on the workbench and swore softly.,The Mystic Marriage,Heather Rose Jones
268,A light breeze produced a dry rattling sound from some nearby bushes.,Matter,Iain M. Banks
269,"And then, after walking all day through a golden haze of humid warmth that gathered about him like fine wet fleece, Valentine came to a great ridge of outcropping white stone overlooking the city of Pidruid.",Lord Valentine’S Castle,Robert Silverberg
270,Rain fell like tiny silver teardrops from the tired sky.,On Mystic Lake,Kristin Hannah
